document_id,filename,product_model,page_count,outline_node_count,top_level_outline_count,leaf_outline_count,question_outline_candidate_count,max_outline_depth,direct_text_block_count,question_source_candidate_count,top_level_outline_paths
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,26,28,4,22,22,3,29,29,Hardware Setup || Manage Your Network || Troubleshooting || Supplemental Information
398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,LM1200,105,104,10,84,84,3,105,105,Introduction and Hardware Overview || Get Started || Manage the Modem LAN Settings || Manage the Mobile Broadband Connection || Secure Your Network || Manage the Modem and Monitor Usage and the Network || Frequently Asked Questions || Alerts and Troubleshooting || Default Settings and Specifications || Wall-Mount the Modem
d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,204,225,16,175,175,4,226,226,Hardware Overview of the Router || Connect to the Network and Access the Router || Specify Your Internet Settings || Optimize Performance || Manage the Basic WiFi Network Settings || Control Access to the Internet || Share USB Storage Devices Attached to the Router || Use Dynamic DNS to Access USB Storage Devices Through the Internet || Use the Router as a Media Server || Manage the WAN and LAN Network Settings || Manage Your Router || Manage the Advanced WiFi Features || Use VPN to Access Your Network || Manage Port Forwarding and Port Triggering || Troubleshooting || Supplemental Information
8a56b2bf-5d68-4806-abb7-de39894bb404,netgear-r7000.pdf,R7000,186,212,15,168,168,4,213,213,Hardware Setup || Connect to the Network and Access the Router || Specify Your Internet Settings || Control Access to the Internet || Optimize Performance || Manage Network Settings || Manage Your Router || Share USB Storage Devices Attached to the Router || Use Dynamic DNS to Access USB Storage Devices Through the Internet || Use the Router as a Media Server || Share a USB Printer || Use VPN to Access Your Network || Manage Port Forwarding and Port Triggering || Troubleshooting || Supplemental Information
d69381d0-06ed-49bf-9fe1-6050d9374432,netgear-rax120.pdf,RAX120,175,201,13,161,161,3,202,202,Hardware Setup || Connect to the network and access the router || Specify Your Internet Settings || Control Access to the Internet || Optimize Performance || Manage Network Settings || Manage Your Router || Share USB Storage Devices Attached to the Router || Use Dynamic DNS to Access USB Storage Devices Through the Internet || Use OpenVPN to Access Your Network || Manage port forwarding and port triggering || Troubleshooting || Supplemental Information
e65eaa31-8579-448d-a22c-88a8fde64409,netgear-rax50.pdf,RAX50,160,184,13,148,148,3,185,185,Hardware Setup || Connect to the Network and Access the Router || Specify Your Internet Settings || Control Access to the Internet || Manage Network Settings || Optimize Performance || Manage Your Router || Share USB Storage Devices Attached to the Router || Use Dynamic DNS to Access USB Storage Devices Through the Internet || Use OpenVPN to Access Your Network || Manage Port Forwarding and Port Triggering || Troubleshooting || Supplemental Information
57d18421-8c71-47bc-992e-0d0dfdcdbbea,netgear-raxe500.pdf,RAXE500,169,191,12,155,155,3,192,192,Hardware Setup || Connect to the network and access the router || Specify Your Internet Settings || Control Access to the Internet || Manage Network Settings || Manage Your Router || Share USB Storage Devices Attached to the Router || Use Dynamic DNS to Access USB Storage Devices Through the Internet || Use VPN to Access Your Network || Manage port forwarding and port triggering || Troubleshooting || Supplemental Information
4431ab7b-17f3-4bc6-8ee4-691efbcdfdeb,netgear-rbk852.pdf,RBK852,161,182,11,144,144,3,183,183,Overview || Connect to the Network and Access the Router || Specify Your Internet Settings || Control Access to the Internet || Specify WiFi Settings || Specify Network Settings || Mantain and Monitor Your Network || Use OpenVPN to Access Your Network || Customize Internet Traffic Rules for Ports || Troubleshooting || Supplemental Information
404fe683-4727-4c53-9c1d-9adf98a793c4,netgear-xr500.pdf,XR500,214,230,18,183,183,3,231,231,Hardware Setup || Connect to the Network and Access the Router || Specify Your Internet Settings || Customize Quality of Service Settings and Optimize Gaming || Monitor Devices and the Network and View Router Information || Control Access to the Internet || Manage the Router’s Network Settings || Manage the Router’s WiFi Settings || Maintain the Router || Share USB Storage Devices Attached to the Router || Use Dynamic DNS to Access USB Storage Devices Through the Internet || Use the Router as a Media Server || Share a USB Printer || Use OpenVPN to Access Your Network || Use VPN to Access An External Network || Manage and Customize Internet Traffic Rules for Ports || Troubleshooting || Supplemental Information
