document_index,document_id,source_identifier,source_url,filename,extension,object_key,byte_size,content_sha256,active_status,raw_hash_match,raw_fetch_status,page_count,text_chars,word_count,token_estimate,blank_pages,image_pages,table_pages,figure_pages,outline_bookmark_count,headings_emitted,text_blocks_emitted,parser_status,parser_plugin,parser_version,parser_input_hash_match,parser_content_hash_match,parser_document_id_match,parser_payload_hash_match,parser_error,raw_hash_actual,parser_page_count
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,1wWXQixDhgbt66sS3YPlprwu0obsDPIWm,https://drive.google.com/file/d/1wWXQixDhgbt66sS3YPlprwu0obsDPIWm/view?usp=drivesdk,netgear-cm2000.pdf,.pdf,rag/datasource/077b19c1-b65c-4447-8394-d96a91d07337/documents/7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa/netgear-cm2000.pdf,2586464,d183473b117fddf5edd6ff99bc0d51dd4a105f9e9dee02a6545a84d6d08d8cad,active,True,READY,26,26175,4040,6555,0,6,6,4,29,28,29,ready,generic-outline,1.0.0,True,True,True,True,,d183473b117fddf5edd6ff99bc0d51dd4a105f9e9dee02a6545a84d6d08d8cad,26
2,398c0bb9-3253-4629-a5ed-18f51d9fb36b,13oc8CO6yYzmDTBF6qXJNawTeiNHwoH7V,https://drive.google.com/file/d/13oc8CO6yYzmDTBF6qXJNawTeiNHwoH7V/view?usp=drivesdk,netgear-lm1200.pdf,.pdf,rag/datasource/077b19c1-b65c-4447-8394-d96a91d07337/documents/398c0bb9-3253-4629-a5ed-18f51d9fb36b/netgear-lm1200.pdf,3987338,ac21f43a7bf4298fefc68f615226cde51177e1d12a2b1fe26768fd6b3e8b5d96,active,True,READY,105,137125,22968,34319,0,34,13,3,105,104,105,ready,generic-outline,1.0.0,True,True,True,True,,ac21f43a7bf4298fefc68f615226cde51177e1d12a2b1fe26768fd6b3e8b5d96,105
3,d363d52d-99b4-4258-9e83-eca4fbdf4722,1i0TsUxtnI3YC06ln3rOWfA27exvEH4h2,https://drive.google.com/file/d/1i0TsUxtnI3YC06ln3rOWfA27exvEH4h2/view?usp=drivesdk,netgear-r6350.pdf,.pdf,rag/datasource/077b19c1-b65c-4447-8394-d96a91d07337/documents/d363d52d-99b4-4258-9e83-eca4fbdf4722/netgear-r6350.pdf,1820508,9b3e3b95e58e5ed10692bba077aefabb21a57ea30e6af70d889e82430cf4ab7f,active,True,READY,204,325166,53959,81370,0,10,9,5,226,225,226,ready,generic-outline,1.0.0,True,True,True,True,,9b3e3b95e58e5ed10692bba077aefabb21a57ea30e6af70d889e82430cf4ab7f,204
4,8a56b2bf-5d68-4806-abb7-de39894bb404,1U-owvKcY1g1EPmgGur0iqtps4ozFRlXc,https://drive.google.com/file/d/1U-owvKcY1g1EPmgGur0iqtps4ozFRlXc/view?usp=drivesdk,netgear-r7000.pdf,.pdf,rag/datasource/077b19c1-b65c-4447-8394-d96a91d07337/documents/8a56b2bf-5d68-4806-abb7-de39894bb404/netgear-r7000.pdf,4464523,11c4944106002c0f8b2c871f231e1f209362565abb935f386ce132b24ec42f88,active,True,READY,186,277435,45835,69429,0,13,10,5,213,212,213,ready,generic-outline,1.0.0,True,True,True,True,,11c4944106002c0f8b2c871f231e1f209362565abb935f386ce132b24ec42f88,186
5,d69381d0-06ed-49bf-9fe1-6050d9374432,1OOINVNUyvB_LRi9FCGiINpM6iX9GOqWm,https://drive.google.com/file/d/1OOINVNUyvB_LRi9FCGiINpM6iX9GOqWm/view?usp=drivesdk,netgear-rax120.pdf,.pdf,rag/datasource/077b19c1-b65c-4447-8394-d96a91d07337/documents/d69381d0-06ed-49bf-9fe1-6050d9374432/netgear-rax120.pdf,2353363,2a2f3920544d2d53f28fd189c2371495c269ad11213c4eb5ad8173add9ebfde1,active,True,READY,175,286449,47331,71673,0,8,7,6,202,201,202,ready,generic-outline,1.0.0,True,True,True,True,,2a2f3920544d2d53f28fd189c2371495c269ad11213c4eb5ad8173add9ebfde1,175
6,e65eaa31-8579-448d-a22c-88a8fde64409,1fQPTq3WwrUUH3am0vq2dO7KdOvla1cdG,https://drive.google.com/file/d/1fQPTq3WwrUUH3am0vq2dO7KdOvla1cdG/view?usp=drivesdk,netgear-rax50.pdf,.pdf,rag/datasource/077b19c1-b65c-4447-8394-d96a91d07337/documents/e65eaa31-8579-448d-a22c-88a8fde64409/netgear-rax50.pdf,1329644,0fc53209b2d4e533883c1b28b06f30fabd1b90d42ec20e91fa112135f2f1acdf,active,True,READY,160,259678,42791,64982,0,8,6,6,185,184,185,ready,generic-outline,1.0.0,True,True,True,True,,0fc53209b2d4e533883c1b28b06f30fabd1b90d42ec20e91fa112135f2f1acdf,160
7,57d18421-8c71-47bc-992e-0d0dfdcdbbea,1xQTWJ0KFM7HkwW1HngUhMnRdLSSoZke3,https://drive.google.com/file/d/1xQTWJ0KFM7HkwW1HngUhMnRdLSSoZke3/view?usp=drivesdk,netgear-raxe500.pdf,.pdf,rag/datasource/077b19c1-b65c-4447-8394-d96a91d07337/documents/57d18421-8c71-47bc-992e-0d0dfdcdbbea/netgear-raxe500.pdf,3437401,6fd7be178a370fd3eecc285f24200a707650b529d8ab239e72080aef59e6755f,active,True,READY,169,268433,44327,67171,0,14,8,8,192,191,192,ready,generic-outline,1.0.0,True,True,True,True,,6fd7be178a370fd3eecc285f24200a707650b529d8ab239e72080aef59e6755f,169
8,4431ab7b-17f3-4bc6-8ee4-691efbcdfdeb,1WRo9iMXHwgTM-cHL9ULdsf6QH8bJIq2r,https://drive.google.com/file/d/1WRo9iMXHwgTM-cHL9ULdsf6QH8bJIq2r/view?usp=drivesdk,netgear-rbk852.pdf,.pdf,rag/datasource/077b19c1-b65c-4447-8394-d96a91d07337/documents/4431ab7b-17f3-4bc6-8ee4-691efbcdfdeb/netgear-rbk852.pdf,1527721,bfdbc66cc3239602f3ee3d85c4de773c18f9436b89b14b321acc903b728a3a11,active,True,READY,161,247213,40555,61867,0,5,24,2,183,182,183,ready,generic-outline,1.0.0,True,True,True,True,,bfdbc66cc3239602f3ee3d85c4de773c18f9436b89b14b321acc903b728a3a11,161
9,404fe683-4727-4c53-9c1d-9adf98a793c4,1RPUgtXxkCocWg5vsGPIUcxMrHDMj74H2,https://drive.google.com/file/d/1RPUgtXxkCocWg5vsGPIUcxMrHDMj74H2/view?usp=drivesdk,netgear-xr500.pdf,.pdf,rag/datasource/077b19c1-b65c-4447-8394-d96a91d07337/documents/404fe683-4727-4c53-9c1d-9adf98a793c4/netgear-xr500.pdf,2123687,bfe80858e4409f0486365873f4b22ee7d9a7f79451257e2c1e4523d21ce7b9b0,active,True,READY,214,343941,56915,86070,0,14,7,6,231,230,231,ready,generic-outline,1.0.0,True,True,True,True,,bfe80858e4409f0486365873f4b22ee7d9a7f79451257e2c1e4523d21ce7b9b0,214
