document_index,document_id,filename,page_count,parser_page_count,outline_bookmark_count,headings_emitted,text_blocks_emitted,parser_status,parser_plugin,parser_version,parser_input_hash_match,parser_content_hash_match,parser_document_id_match,parser_payload_hash_match,parser_error
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,26,26,29,28,29,ready,generic-outline,1.0.0,True,True,True,True,
2,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,105,105,105,104,105,ready,generic-outline,1.0.0,True,True,True,True,
3,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,204,204,226,225,226,ready,generic-outline,1.0.0,True,True,True,True,
4,8a56b2bf-5d68-4806-abb7-de39894bb404,netgear-r7000.pdf,186,186,213,212,213,ready,generic-outline,1.0.0,True,True,True,True,
5,d69381d0-06ed-49bf-9fe1-6050d9374432,netgear-rax120.pdf,175,175,202,201,202,ready,generic-outline,1.0.0,True,True,True,True,
6,e65eaa31-8579-448d-a22c-88a8fde64409,netgear-rax50.pdf,160,160,185,184,185,ready,generic-outline,1.0.0,True,True,True,True,
7,57d18421-8c71-47bc-992e-0d0dfdcdbbea,netgear-raxe500.pdf,169,169,192,191,192,ready,generic-outline,1.0.0,True,True,True,True,
8,4431ab7b-17f3-4bc6-8ee4-691efbcdfdeb,netgear-rbk852.pdf,161,161,183,182,183,ready,generic-outline,1.0.0,True,True,True,True,
9,404fe683-4727-4c53-9c1d-9adf98a793c4,netgear-xr500.pdf,214,214,231,230,231,ready,generic-outline,1.0.0,True,True,True,True,
