condition_id,profile_id,profile_name,question_count,valid_trace_count,failed_question_count,document_count,metric_mode,use_reranker,intent_provider,answer_generation_provider,kg_mode,chunk_precision@10,chunk_success@10,gold_block_recall@10,chunk_ndcg@10,median_latency_ms
baseline-generic-hybrid,0d686771-6d7e-489d-a702-fc0c713f3b77,customer-service-e2e-baseline-generic-hybrid-ting-k60,200,200,0,9,single-block,False,passthrough,deterministic,none,0.083,0.575,0.575,0.248107273142034,11237.8195
chunker-generic-recursive,8afcc61b-3bda-425a-9f65-d4a12d0aa8ec,customer-service-e2e-chunker-generic-recursive-ting-k60,200,200,0,9,single-block,False,passthrough,deterministic,none,0.061500000000000006,0.49,0.49,0.23503058244135488,5870.0154999999995
chunker-generic-sliding-window,ca7a6f31-08b7-4674-8a41-757a81631fbc,customer-service-e2e-chunker-generic-sliding-window-ting-k60,200,200,0,9,single-block,False,passthrough,deterministic,none,0.077,0.535,0.535,0.25322064130689836,5855.023499999999
indexer-generic-sparse,797ce799-a957-4eaa-be52-5f27067622cc,customer-service-e2e-indexer-generic-sparse-ting-k60,200,200,0,9,single-block,False,passthrough,deterministic,none,0.03900000000000001,0.265,0.265,0.1026223346033629,3484.9905
indexer-generic-dense,ebfdd1ad-df71-4b99-b0d7-ccda978c8c0b,customer-service-e2e-indexer-generic-dense-ting-k60,200,200,0,9,single-block,False,passthrough,deterministic,none,0.09849999999999999,0.625,0.625,0.27174172789517115,3612.9645
