analysis_scope,condition_id,condition_label,cutoff_k,question_count,mean_retrieved_count,mean_hit_chunk_count,chunk_precision,chunk_success,gold_block_recall,chunk_ndcg,empty_rate,median_latency_ms
family:troubleshooting_diagnostics,baseline-generic-hybrid,Hybrid baseline,55,50,22.46,1.0,0.01818181818181818,0.76,0.76,0.2922264044724851,0.0,10736.087
family:troubleshooting_diagnostics,baseline-generic-hybrid,Hybrid baseline,60,50,22.46,1.0,0.016666666666666666,0.76,0.76,0.2922264044724851,0.0,10736.087
family:features_security_maintenance_limitations,baseline-generic-hybrid,Hybrid baseline,5,50,27.98,0.6,0.12,0.42,0.42,0.18801433675855403,0.0,11716.716499999999
family:features_security_maintenance_limitations,baseline-generic-hybrid,Hybrid baseline,10,50,27.98,0.98,0.098,0.58,0.58,0.24371126872679144,0.0,11716.716499999999
family:features_security_maintenance_limitations,baseline-generic-hybrid,Hybrid baseline,15,50,27.98,1.24,0.08266666666666668,0.64,0.64,0.2796146983341134,0.0,11716.716499999999
family:features_security_maintenance_limitations,baseline-generic-hybrid,Hybrid baseline,20,50,27.98,1.5,0.075,0.7,0.7,0.3144000207664425,0.0,11716.716499999999
family:features_security_maintenance_limitations,baseline-generic-hybrid,Hybrid baseline,25,50,27.98,1.72,0.0688,0.72,0.72,0.335629912172493,0.0,11716.716499999999
family:features_security_maintenance_limitations,baseline-generic-hybrid,Hybrid baseline,30,50,27.98,1.82,0.06066666666666667,0.72,0.72,0.34474334765244274,0.0,11716.716499999999
family:features_security_maintenance_limitations,baseline-generic-hybrid,Hybrid baseline,35,50,27.98,1.9,0.05428571428571429,0.72,0.72,0.3511808542338223,0.0,11716.716499999999
family:features_security_maintenance_limitations,baseline-generic-hybrid,Hybrid baseline,40,50,27.98,1.96,0.049,0.72,0.72,0.35523948749674356,0.0,11716.716499999999
family:features_security_maintenance_limitations,baseline-generic-hybrid,Hybrid baseline,45,50,27.98,1.96,0.04355555555555555,0.72,0.72,0.35523948749674356,0.0,11716.716499999999
family:features_security_maintenance_limitations,baseline-generic-hybrid,Hybrid baseline,50,50,27.98,1.96,0.0392,0.72,0.72,0.35523948749674356,0.0,11716.716499999999
family:features_security_maintenance_limitations,baseline-generic-hybrid,Hybrid baseline,55,50,27.98,1.96,0.03563636363636363,0.72,0.72,0.35523948749674356,0.0,11716.716499999999
