analysis_scope,condition_id,condition_label,cutoff_k,question_count,mean_retrieved_count,mean_hit_chunk_count,chunk_precision,chunk_success,gold_block_recall,chunk_ndcg,empty_rate,median_latency_ms
combined,indexer-generic-sparse,Sparse indexer,10,200,48.44,0.39,0.03900000000000001,0.265,0.265,0.1026223346033629,0.015,3484.9905
combined,indexer-generic-sparse,Sparse indexer,15,200,48.44,0.495,0.033,0.305,0.305,0.1177896742299951,0.015,3484.9905
combined,indexer-generic-sparse,Sparse indexer,20,200,48.44,0.59,0.029500000000000002,0.345,0.345,0.12921408400656006,0.015,3484.9905
combined,indexer-generic-sparse,Sparse indexer,25,200,48.44,0.73,0.0292,0.385,0.385,0.14477860474865198,0.015,3484.9905
combined,indexer-generic-sparse,Sparse indexer,30,200,48.44,0.83,0.027666666666666666,0.42,0.42,0.15659437263095913,0.015,3484.9905
combined,indexer-generic-sparse,Sparse indexer,35,200,48.44,0.89,0.025428571428571425,0.425,0.425,0.16230481800741903,0.015,3484.9905
combined,indexer-generic-sparse,Sparse indexer,40,200,48.44,0.95,0.02375,0.44,0.44,0.16845162561030247,0.015,3484.9905
combined,indexer-generic-sparse,Sparse indexer,45,200,48.44,1.03,0.02288888888888889,0.465,0.465,0.17729379199702675,0.015,3484.9905
combined,indexer-generic-sparse,Sparse indexer,50,200,48.44,1.065,0.0213,0.47,0.47,0.18080661597101977,0.015,3484.9905
combined,indexer-generic-sparse,Sparse indexer,55,200,48.44,1.1,0.02,0.48,0.48,0.18422935217028308,0.015,3484.9905
combined,indexer-generic-sparse,Sparse indexer,60,200,48.44,1.155,0.01925,0.495,0.495,0.18987855001833073,0.015,3484.9905
combined,indexer-generic-dense,Dense indexer,5,200,60.0,0.635,0.127,0.445,0.445,0.20788305004519805,0.0,3612.9645
combined,indexer-generic-dense,Dense indexer,10,200,60.0,0.985,0.09849999999999999,0.625,0.625,0.27174172789517115,0.0,3612.9645
combined,indexer-generic-dense,Dense indexer,15,200,60.0,1.205,0.08033333333333333,0.72,0.72,0.299926432342781,0.0,3612.9645
combined,indexer-generic-dense,Dense indexer,20,200,60.0,1.415,0.07075000000000001,0.765,0.765,0.32423760701933996,0.0,3612.9645
combined,indexer-generic-dense,Dense indexer,25,200,60.0,1.56,0.062400000000000004,0.78,0.78,0.3384471942525695,0.0,3612.9645
combined,indexer-generic-dense,Dense indexer,30,200,60.0,1.695,0.0565,0.785,0.785,0.350209387486506,0.0,3612.9645
combined,indexer-generic-dense,Dense indexer,35,200,60.0,1.815,0.05185714285714286,0.8,0.8,0.36081979988309676,0.0,3612.9645
combined,indexer-generic-dense,Dense indexer,40,200,60.0,1.94,0.048499999999999995,0.83,0.83,0.37407673087923,0.0,3612.9645
combined,indexer-generic-dense,Dense indexer,45,200,60.0,2.01,0.04466666666666667,0.835,0.835,0.380272695587844,0.0,3612.9645
combined,indexer-generic-dense,Dense indexer,50,200,60.0,2.095,0.04190000000000001,0.85,0.85,0.3878050897513331,0.0,3612.9645
combined,indexer-generic-dense,Dense indexer,55,200,60.0,2.195,0.03990909090909091,0.86,0.86,0.3960113709195457,0.0,3612.9645
combined,indexer-generic-dense,Dense indexer,60,200,60.0,2.26,0.03766666666666667,0.86,0.86,0.4000543944302512,0.0,3612.9645
