condition_id,condition_label,question_count,mean_candidate_pool,p90_candidate_pool,first_hit_rank_mean,first_hit_rank_median,first_hit_rank_p90,first_hit_reciprocal_rank,first_hit_cutoff_mean,no_hit_rate_at_10,no_hit_rate_at_60,median_latency_ms,p90_latency_ms
baseline-generic-hybrid,Hybrid baseline,200,25.03,38.0,7.241610738255034,5.0,17.200000000000017,0.23126875432834754,9.630872483221477,0.425,0.255,11237.8195,13217.6656
chunker-generic-recursive,Recursive chunker,200,25.285,37.0,7.476190476190476,6.0,17.0,0.2161853507972686,9.920634920634921,0.51,0.37,5870.0154999999995,7161.771699999999
chunker-generic-sliding-window,Sliding-window chunker,200,25.655,36.0,7.357664233576642,6.0,18.0,0.23243699165415793,9.671532846715328,0.465,0.315,5855.023499999999,7094.289699999999
indexer-generic-sparse,Sparse indexer,200,48.44,60.0,15.636363636363637,10.0,42.2,0.12188903751351007,18.03030303030303,0.735,0.505,3484.9905,4633.51
indexer-generic-dense,Dense indexer,200,60.0,60.0,9.30813953488372,5.0,22.80000000000001,0.3154807032645289,11.773255813953488,0.375,0.14,3612.9645,4618.1808
