analysis_scope,condition_id,condition_label,cutoff_k,question_count,mean_retrieved_count,mean_hit_chunk_count,chunk_precision,chunk_success,gold_block_recall,chunk_ndcg,empty_rate,median_latency_ms
id,chunker-generic-recursive,Recursive chunker,15,100,23.12,0.67,0.04466666666666667,0.51,0.51,0.2219236256489342,0.0,5442.13
id,chunker-generic-recursive,Recursive chunker,20,100,23.12,0.73,0.036500000000000005,0.54,0.54,0.23237527105277686,0.0,5442.13
id,chunker-generic-recursive,Recursive chunker,25,100,23.12,0.78,0.031200000000000002,0.54,0.54,0.2376461415237714,0.0,5442.13
id,chunker-generic-recursive,Recursive chunker,30,100,23.12,0.86,0.028666666666666667,0.56,0.56,0.2462451309442297,0.0,5442.13
id,chunker-generic-recursive,Recursive chunker,35,100,23.12,0.87,0.02485714285714286,0.56,0.56,0.24744051671401443,0.0,5442.13
id,chunker-generic-recursive,Recursive chunker,40,100,23.12,0.89,0.022250000000000002,0.56,0.56,0.24923432380508925,0.0,5442.13
id,chunker-generic-recursive,Recursive chunker,45,100,23.12,0.89,0.01977777777777778,0.56,0.56,0.24923432380508925,0.0,5442.13
id,chunker-generic-recursive,Recursive chunker,50,100,23.12,0.89,0.0178,0.56,0.56,0.24923432380508925,0.0,5442.13
id,chunker-generic-recursive,Recursive chunker,55,100,23.12,0.89,0.016181818181818183,0.56,0.56,0.24923432380508925,0.0,5442.13
id,chunker-generic-recursive,Recursive chunker,60,100,23.12,0.89,0.014833333333333334,0.56,0.56,0.24923432380508925,0.0,5442.13
en,chunker-generic-sliding-window,Sliding-window chunker,5,100,27.66,0.47,0.094,0.35,0.35,0.20179046862826897,0.0,6254.9025
en,chunker-generic-sliding-window,Sliding-window chunker,10,100,27.66,0.87,0.08700000000000001,0.55,0.55,0.2756934859453732,0.0,6254.9025
en,chunker-generic-sliding-window,Sliding-window chunker,15,100,27.66,1.03,0.06866666666666667,0.63,0.63,0.30403355356233813,0.0,6254.9025
en,chunker-generic-sliding-window,Sliding-window chunker,20,100,27.66,1.23,0.061500000000000006,0.69,0.69,0.33426269351671833,0.0,6254.9025
en,chunker-generic-sliding-window,Sliding-window chunker,25,100,27.66,1.31,0.0524,0.72,0.72,0.34466249440299085,0.0,6254.9025
en,chunker-generic-sliding-window,Sliding-window chunker,30,100,27.66,1.37,0.04566666666666666,0.73,0.73,0.3510880298743257,0.0,6254.9025
en,chunker-generic-sliding-window,Sliding-window chunker,35,100,27.66,1.39,0.039714285714285716,0.73,0.73,0.3535087441603876,0.0,6254.9025
en,chunker-generic-sliding-window,Sliding-window chunker,40,100,27.66,1.39,0.03475,0.73,0.73,0.3535087441603876,0.0,6254.9025
en,chunker-generic-sliding-window,Sliding-window chunker,45,100,27.66,1.39,0.03088888888888889,0.73,0.73,0.3535087441603876,0.0,6254.9025
en,chunker-generic-sliding-window,Sliding-window chunker,50,100,27.66,1.39,0.027800000000000002,0.73,0.73,0.3535087441603876,0.0,6254.9025
en,chunker-generic-sliding-window,Sliding-window chunker,55,100,27.66,1.39,0.025272727272727273,0.73,0.73,0.3535087441603876,0.0,6254.9025
en,chunker-generic-sliding-window,Sliding-window chunker,60,100,27.66,1.39,0.02316666666666667,0.73,0.73,0.3535087441603876,0.0,6254.9025
id,chunker-generic-sliding-window,Sliding-window chunker,5,100,23.65,0.37,0.07400000000000001,0.32,0.32,0.1653149146660993,0.0,5497.6995
id,chunker-generic-sliding-window,Sliding-window chunker,10,100,23.65,0.67,0.067,0.52,0.52,0.2307477966684236,0.0,5497.6995
id,chunker-generic-sliding-window,Sliding-window chunker,15,100,23.65,0.84,0.055999999999999994,0.56,0.56,0.2564203301938145,0.0,5497.6995
id,chunker-generic-sliding-window,Sliding-window chunker,20,100,23.65,0.94,0.047,0.6,0.6,0.2722030082450601,0.0,5497.6995
id,chunker-generic-sliding-window,Sliding-window chunker,25,100,23.65,1.07,0.042800000000000005,0.63,0.63,0.2888052178306836,0.0,5497.6995
id,chunker-generic-sliding-window,Sliding-window chunker,30,100,23.65,1.1,0.03666666666666667,0.64,0.64,0.2928185999253315,0.0,5497.6995
id,chunker-generic-sliding-window,Sliding-window chunker,35,100,23.65,1.13,0.032285714285714286,0.64,0.64,0.2956201314545379,0.0,5497.6995
id,chunker-generic-sliding-window,Sliding-window chunker,40,100,23.65,1.14,0.0285,0.64,0.64,0.29626182378225374,0.0,5497.6995
id,chunker-generic-sliding-window,Sliding-window chunker,45,100,23.65,1.14,0.025333333333333333,0.64,0.64,0.29626182378225374,0.0,5497.6995
id,chunker-generic-sliding-window,Sliding-window chunker,50,100,23.65,1.14,0.0228,0.64,0.64,0.29626182378225374,0.0,5497.6995
id,chunker-generic-sliding-window,Sliding-window chunker,55,100,23.65,1.14,0.020727272727272726,0.64,0.64,0.29626182378225374,0.0,5497.6995
id,chunker-generic-sliding-window,Sliding-window chunker,60,100,23.65,1.14,0.019,0.64,0.64,0.29626182378225374,0.0,5497.6995
en,indexer-generic-sparse,Sparse indexer,5,100,60.0,0.27,0.054000000000000006,0.2,0.2,0.09809996726165691,0.0,3930.941
en,indexer-generic-sparse,Sparse indexer,10,100,60.0,0.49,0.049,0.36,0.36,0.14248927640881026,0.0,3930.941
en,indexer-generic-sparse,Sparse indexer,15,100,60.0,0.6,0.04,0.42,0.42,0.16104178477764466,0.0,3930.941
en,indexer-generic-sparse,Sparse indexer,20,100,60.0,0.73,0.036500000000000005,0.48,0.48,0.17716821877193628,0.0,3930.941
en,indexer-generic-sparse,Sparse indexer,25,100,60.0,0.87,0.0348,0.5,0.5,0.1927570286867746,0.0,3930.941
en,indexer-generic-sparse,Sparse indexer,30,100,60.0,0.99,0.033,0.54,0.54,0.2073668002106626,0.0,3930.941
en,indexer-generic-sparse,Sparse indexer,35,100,60.0,1.04,0.029714285714285714,0.54,0.54,0.21250214992171287,0.0,3930.941
en,indexer-generic-sparse,Sparse indexer,40,100,60.0,1.08,0.027000000000000003,0.56,0.56,0.21710925267000294,0.0,3930.941
en,indexer-generic-sparse,Sparse indexer,45,100,60.0,1.2,0.026666666666666665,0.6,0.6,0.23067845522909175,0.0,3930.941
en,indexer-generic-sparse,Sparse indexer,50,100,60.0,1.24,0.0248,0.61,0.61,0.23495160998657283,0.0,3930.941
en,indexer-generic-sparse,Sparse indexer,55,100,60.0,1.3,0.023636363636363636,0.63,0.63,0.24112184322106878,0.0,3930.941
en,indexer-generic-sparse,Sparse indexer,60,100,60.0,1.36,0.022666666666666665,0.64,0.64,0.24717079975319448,0.0,3930.941
id,indexer-generic-sparse,Sparse indexer,5,100,36.88,0.16,0.032,0.11,0.11,0.045989267505739936,0.03,2994.7545
id,indexer-generic-sparse,Sparse indexer,10,100,36.88,0.29,0.029000000000000005,0.17,0.17,0.06275539279791556,0.03,2994.7545
id,indexer-generic-sparse,Sparse indexer,15,100,36.88,0.39,0.026000000000000002,0.19,0.19,0.07453756368234556,0.03,2994.7545
id,indexer-generic-sparse,Sparse indexer,20,100,36.88,0.45,0.0225,0.21,0.21,0.08125994924118389,0.03,2994.7545
id,indexer-generic-sparse,Sparse indexer,25,100,36.88,0.59,0.0236,0.27,0.27,0.09680018081052935,0.03,2994.7545
id,indexer-generic-sparse,Sparse indexer,30,100,36.88,0.67,0.022333333333333334,0.3,0.3,0.10582194505125563,0.03,2994.7545
id,indexer-generic-sparse,Sparse indexer,35,100,36.88,0.74,0.021142857142857144,0.31,0.31,0.11210748609312514,0.03,2994.7545
