analysis_scope,condition_id,condition_label,cutoff_k,question_count,mean_retrieved_count,mean_hit_chunk_count,chunk_precision,chunk_success,gold_block_recall,chunk_ndcg,empty_rate,median_latency_ms
product:CM2000,baseline-generic-hybrid,Hybrid baseline,5,18,23.27777777777778,0.7222222222222222,0.14444444444444446,0.5555555555555556,0.5555555555555556,0.32150800315186145,0.0,10406.360499999999
product:CM2000,baseline-generic-hybrid,Hybrid baseline,10,18,23.27777777777778,1.0555555555555556,0.10555555555555557,0.7777777777777778,0.7777777777777778,0.3877150335598036,0.0,10406.360499999999
product:CM2000,baseline-generic-hybrid,Hybrid baseline,15,18,23.27777777777778,1.3333333333333333,0.08888888888888889,0.8333333333333334,0.8333333333333334,0.4325712241742013,0.0,10406.360499999999
product:CM2000,baseline-generic-hybrid,Hybrid baseline,20,18,23.27777777777778,1.5,0.07500000000000001,0.8888888888888888,0.8888888888888888,0.4601174275499089,0.0,10406.360499999999
product:CM2000,baseline-generic-hybrid,Hybrid baseline,25,18,23.27777777777778,1.5555555555555556,0.06222222222222223,0.8888888888888888,0.8888888888888888,0.4676477174547047,0.0,10406.360499999999
product:CM2000,baseline-generic-hybrid,Hybrid baseline,30,18,23.27777777777778,1.5555555555555556,0.05185185185185185,0.8888888888888888,0.8888888888888888,0.4676477174547047,0.0,10406.360499999999
product:CM2000,baseline-generic-hybrid,Hybrid baseline,35,18,23.27777777777778,1.5555555555555556,0.044444444444444446,0.8888888888888888,0.8888888888888888,0.4676477174547047,0.0,10406.360499999999
product:CM2000,baseline-generic-hybrid,Hybrid baseline,40,18,23.27777777777778,1.5555555555555556,0.03888888888888889,0.8888888888888888,0.8888888888888888,0.4676477174547047,0.0,10406.360499999999
product:CM2000,baseline-generic-hybrid,Hybrid baseline,45,18,23.27777777777778,1.6111111111111112,0.03580246913580247,0.9444444444444444,0.9444444444444444,0.4779504409777808,0.0,10406.360499999999
product:CM2000,baseline-generic-hybrid,Hybrid baseline,50,18,23.27777777777778,1.6111111111111112,0.03222222222222222,0.9444444444444444,0.9444444444444444,0.4779504409777808,0.0,10406.360499999999
product:CM2000,baseline-generic-hybrid,Hybrid baseline,55,18,23.27777777777778,1.6111111111111112,0.02929292929292929,0.9444444444444444,0.9444444444444444,0.4779504409777808,0.0,10406.360499999999
product:CM2000,baseline-generic-hybrid,Hybrid baseline,60,18,23.27777777777778,1.6111111111111112,0.026851851851851852,0.9444444444444444,0.9444444444444444,0.4779504409777808,0.0,10406.360499999999
product:LM1200,baseline-generic-hybrid,Hybrid baseline,5,20,25.45,0.7,0.14,0.4,0.4,0.20734581191634005,0.0,12021.9265
product:LM1200,baseline-generic-hybrid,Hybrid baseline,10,20,25.45,1.1,0.11000000000000001,0.45,0.45,0.26726407000741736,0.0,12021.9265
product:LM1200,baseline-generic-hybrid,Hybrid baseline,15,20,25.45,1.4,0.09333333333333334,0.5,0.5,0.3006775900130433,0.0,12021.9265
product:LM1200,baseline-generic-hybrid,Hybrid baseline,20,20,25.45,1.65,0.0825,0.6,0.6,0.33964639768868266,0.0,12021.9265
product:LM1200,baseline-generic-hybrid,Hybrid baseline,25,20,25.45,1.65,0.066,0.6,0.6,0.33964639768868266,0.0,12021.9265
product:LM1200,baseline-generic-hybrid,Hybrid baseline,30,20,25.45,1.65,0.05499999999999999,0.6,0.6,0.33964639768868266,0.0,12021.9265
product:LM1200,baseline-generic-hybrid,Hybrid baseline,35,20,25.45,1.65,0.04714285714285714,0.6,0.6,0.33964639768868266,0.0,12021.9265
product:LM1200,baseline-generic-hybrid,Hybrid baseline,40,20,25.45,1.65,0.04125,0.6,0.6,0.33964639768868266,0.0,12021.9265
product:LM1200,baseline-generic-hybrid,Hybrid baseline,45,20,25.45,1.65,0.03666666666666667,0.6,0.6,0.33964639768868266,0.0,12021.9265
product:LM1200,baseline-generic-hybrid,Hybrid baseline,50,20,25.45,1.65,0.033,0.6,0.6,0.33964639768868266,0.0,12021.9265
product:LM1200,baseline-generic-hybrid,Hybrid baseline,55,20,25.45,1.65,0.03,0.6,0.6,0.33964639768868266,0.0,12021.9265
product:LM1200,baseline-generic-hybrid,Hybrid baseline,60,20,25.45,1.65,0.027499999999999997,0.6,0.6,0.33964639768868266,0.0,12021.9265
product:R6350,baseline-generic-hybrid,Hybrid baseline,5,24,27.208333333333332,0.5416666666666666,0.10833333333333334,0.4583333333333333,0.4583333333333333,0.202243944877179,0.0,11273.812
product:R6350,baseline-generic-hybrid,Hybrid baseline,10,24,27.208333333333332,0.7083333333333334,0.07083333333333335,0.5833333333333334,0.5833333333333334,0.24173342198621273,0.0,11273.812
product:R6350,baseline-generic-hybrid,Hybrid baseline,15,24,27.208333333333332,0.875,0.05833333333333333,0.7083333333333334,0.7083333333333334,0.27996951204022064,0.0,11273.812
product:R6350,baseline-generic-hybrid,Hybrid baseline,20,24,27.208333333333332,1.0416666666666667,0.052083333333333336,0.7916666666666666,0.7916666666666666,0.30719096389639494,0.0,11273.812
product:R6350,baseline-generic-hybrid,Hybrid baseline,25,24,27.208333333333332,1.25,0.049999999999999996,0.875,0.875,0.33873299508776694,0.0,11273.812
product:R6350,baseline-generic-hybrid,Hybrid baseline,30,24,27.208333333333332,1.375,0.04583333333333334,0.875,0.875,0.35069035663669007,0.0,11273.812
product:R6350,baseline-generic-hybrid,Hybrid baseline,35,24,27.208333333333332,1.375,0.039285714285714285,0.875,0.875,0.35069035663669007,0.0,11273.812
product:R6350,baseline-generic-hybrid,Hybrid baseline,40,24,27.208333333333332,1.375,0.034375,0.875,0.875,0.35069035663669007,0.0,11273.812
product:R6350,baseline-generic-hybrid,Hybrid baseline,45,24,27.208333333333332,1.4583333333333333,0.032407407407407406,0.875,0.875,0.35785646999599496,0.0,11273.812
product:R6350,baseline-generic-hybrid,Hybrid baseline,50,24,27.208333333333332,1.4583333333333333,0.029166666666666664,0.875,0.875,0.35785646999599496,0.0,11273.812
product:R6350,baseline-generic-hybrid,Hybrid baseline,55,24,27.208333333333332,1.4583333333333333,0.026515151515151516,0.875,0.875,0.35785646999599496,0.0,11273.812
product:R6350,baseline-generic-hybrid,Hybrid baseline,60,24,27.208333333333332,1.4583333333333333,0.024305555555555556,0.875,0.875,0.35785646999599496,0.0,11273.812
product:R7000,baseline-generic-hybrid,Hybrid baseline,5,24,22.083333333333332,0.2916666666666667,0.05833333333333334,0.25,0.25,0.12246945713887362,0.0,10864.8115
product:R7000,baseline-generic-hybrid,Hybrid baseline,10,24,22.083333333333332,0.625,0.0625,0.5,0.5,0.20475769456361478,0.0,10864.8115
product:R7000,baseline-generic-hybrid,Hybrid baseline,15,24,22.083333333333332,0.75,0.049999999999999996,0.5833333333333334,0.5833333333333334,0.2285683499073128,0.0,10864.8115
product:R7000,baseline-generic-hybrid,Hybrid baseline,20,24,22.083333333333332,1.0,0.049999999999999996,0.6666666666666666,0.6666666666666666,0.26047249919461674,0.0,10864.8115
product:R7000,baseline-generic-hybrid,Hybrid baseline,25,24,22.083333333333332,1.25,0.049999999999999996,0.7083333333333334,0.7083333333333334,0.2908043776166916,0.0,10864.8115
product:R7000,baseline-generic-hybrid,Hybrid baseline,30,24,22.083333333333332,1.2916666666666667,0.04305555555555556,0.7083333333333334,0.7083333333333334,0.29487174534134863,0.0,10864.8115
product:R7000,baseline-generic-hybrid,Hybrid baseline,35,24,22.083333333333332,1.2916666666666667,0.036904761904761905,0.7083333333333334,0.7083333333333334,0.29487174534134863,0.0,10864.8115
product:R7000,baseline-generic-hybrid,Hybrid baseline,40,24,22.083333333333332,1.2916666666666667,0.03229166666666667,0.7083333333333334,0.7083333333333334,0.29487174534134863,0.0,10864.8115
product:R7000,baseline-generic-hybrid,Hybrid baseline,45,24,22.083333333333332,1.2916666666666667,0.028703703703703703,0.7083333333333334,0.7083333333333334,0.29487174534134863,0.0,10864.8115
product:R7000,baseline-generic-hybrid,Hybrid baseline,50,24,22.083333333333332,1.2916666666666667,0.025833333333333333,0.7083333333333334,0.7083333333333334,0.29487174534134863,0.0,10864.8115
product:R7000,baseline-generic-hybrid,Hybrid baseline,55,24,22.083333333333332,1.2916666666666667,0.023484848484848483,0.7083333333333334,0.7083333333333334,0.29487174534134863,0.0,10864.8115
product:R7000,baseline-generic-hybrid,Hybrid baseline,60,24,22.083333333333332,1.2916666666666667,0.02152777777777778,0.7083333333333334,0.7083333333333334,0.29487174534134863,0.0,10864.8115
product:RAX120,baseline-generic-hybrid,Hybrid baseline,5,24,26.0,0.20833333333333334,0.041666666666666664,0.20833333333333334,0.20833333333333334,0.061975855123243,0.0,11280.9105
product:RAX120,baseline-generic-hybrid,Hybrid baseline,10,24,26.0,0.625,0.0625,0.5416666666666666,0.5416666666666666,0.16547632820464805,0.0,11280.9105
product:RAX120,baseline-generic-hybrid,Hybrid baseline,15,24,26.0,0.9583333333333334,0.06388888888888888,0.6666666666666666,0.6666666666666666,0.22894382605587982,0.0,11280.9105
product:RAX120,baseline-generic-hybrid,Hybrid baseline,20,24,26.0,1.2083333333333333,0.060416666666666674,0.75,0.75,0.2643313407532854,0.0,11280.9105
product:RAX120,baseline-generic-hybrid,Hybrid baseline,25,24,26.0,1.25,0.049999999999999996,0.7916666666666666,0.7916666666666666,0.2736748334290177,0.0,11280.9105
product:RAX120,baseline-generic-hybrid,Hybrid baseline,30,24,26.0,1.25,0.041666666666666664,0.7916666666666666,0.7916666666666666,0.2736748334290177,0.0,11280.9105
product:RAX120,baseline-generic-hybrid,Hybrid baseline,35,24,26.0,1.25,0.03571428571428571,0.7916666666666666,0.7916666666666666,0.2736748334290177,0.0,11280.9105
product:RAX120,baseline-generic-hybrid,Hybrid baseline,40,24,26.0,1.25,0.03125,0.7916666666666666,0.7916666666666666,0.2736748334290177,0.0,11280.9105
product:RAX120,baseline-generic-hybrid,Hybrid baseline,45,24,26.0,1.25,0.02777777777777778,0.7916666666666666,0.7916666666666666,0.2736748334290177,0.0,11280.9105
product:RAX120,baseline-generic-hybrid,Hybrid baseline,50,24,26.0,1.25,0.024999999999999998,0.7916666666666666,0.7916666666666666,0.2736748334290177,0.0,11280.9105
product:RAX120,baseline-generic-hybrid,Hybrid baseline,55,24,26.0,1.25,0.022727272727272724,0.7916666666666666,0.7916666666666666,0.2736748334290177,0.0,11280.9105
product:RAX120,baseline-generic-hybrid,Hybrid baseline,60,24,26.0,1.25,0.020833333333333332,0.7916666666666666,0.7916666666666666,0.2736748334290177,0.0,11280.9105
product:RAX50,baseline-generic-hybrid,Hybrid baseline,5,22,24.363636363636363,0.3181818181818182,0.06363636363636364,0.2727272727272727,0.2727272727272727,0.14345407544376232,0.0,9929.3225
product:RAX50,baseline-generic-hybrid,Hybrid baseline,10,22,24.363636363636363,0.4090909090909091,0.04090909090909091,0.36363636363636365,0.36363636363636365,0.17147656964602187,0.0,9929.3225
product:RAX50,baseline-generic-hybrid,Hybrid baseline,15,22,24.363636363636363,0.5454545454545454,0.03636363636363637,0.45454545454545453,0.45454545454545453,0.19485724477172195,0.0,9929.3225
product:RAX50,baseline-generic-hybrid,Hybrid baseline,20,22,24.363636363636363,0.5454545454545454,0.02727272727272728,0.45454545454545453,0.45454545454545453,0.19485724477172195,0.0,9929.3225
product:RAX50,baseline-generic-hybrid,Hybrid baseline,25,22,24.363636363636363,0.7272727272727273,0.02909090909090909,0.5454545454545454,0.5454545454545454,0.22380487879697505,0.0,9929.3225
product:RAX50,baseline-generic-hybrid,Hybrid baseline,30,22,24.363636363636363,0.7727272727272727,0.025757575757575757,0.5454545454545454,0.5454545454545454,0.22819576694665014,0.0,9929.3225
product:RAX50,baseline-generic-hybrid,Hybrid baseline,35,22,24.363636363636363,0.7727272727272727,0.02207792207792208,0.5454545454545454,0.5454545454545454,0.22819576694665014,0.0,9929.3225
product:RAX50,baseline-generic-hybrid,Hybrid baseline,40,22,24.363636363636363,0.7727272727272727,0.019318181818181818,0.5454545454545454,0.5454545454545454,0.22819576694665014,0.0,9929.3225
product:RAX50,baseline-generic-hybrid,Hybrid baseline,45,22,24.363636363636363,0.7727272727272727,0.01717171717171717,0.5454545454545454,0.5454545454545454,0.22819576694665014,0.0,9929.3225
product:RAX50,baseline-generic-hybrid,Hybrid baseline,50,22,24.363636363636363,0.7727272727272727,0.015454545454545455,0.5454545454545454,0.5454545454545454,0.22819576694665014,0.0,9929.3225
product:RAX50,baseline-generic-hybrid,Hybrid baseline,55,22,24.363636363636363,0.7727272727272727,0.014049586776859503,0.5454545454545454,0.5454545454545454,0.22819576694665014,0.0,9929.3225
product:RAX50,baseline-generic-hybrid,Hybrid baseline,60,22,24.363636363636363,0.7727272727272727,0.012878787878787878,0.5454545454545454,0.5454545454545454,0.22819576694665014,0.0,9929.3225
product:RAXE500,baseline-generic-hybrid,Hybrid baseline,5,22,24.681818181818183,0.36363636363636365,0.07272727272727274,0.3181818181818182,0.3181818181818182,0.11552738155764128,0.0,11587.0615
product:RAXE500,baseline-generic-hybrid,Hybrid baseline,10,22,24.681818181818183,0.8181818181818182,0.08181818181818182,0.6818181818181818,0.6818181818181818,0.1987022624526614,0.0,11587.0615
product:RAXE500,baseline-generic-hybrid,Hybrid baseline,15,22,24.681818181818183,0.9545454545454546,0.06363636363636363,0.7272727272727273,0.7272727272727273,0.21743228386427305,0.0,11587.0615
product:RAXE500,baseline-generic-hybrid,Hybrid baseline,20,22,24.681818181818183,1.2272727272727273,0.06136363636363637,0.7272727272727273,0.7272727272727273,0.2518579720988641,0.0,11587.0615
product:RAXE500,baseline-generic-hybrid,Hybrid baseline,25,22,24.681818181818183,1.3181818181818181,0.05272727272727273,0.7272727272727273,0.7272727272727273,0.26062038898321743,0.0,11587.0615
product:RAXE500,baseline-generic-hybrid,Hybrid baseline,30,22,24.681818181818183,1.5,0.05,0.7272727272727273,0.7272727272727273,0.2802368554566383,0.0,11587.0615
product:RAXE500,baseline-generic-hybrid,Hybrid baseline,35,22,24.681818181818183,1.5,0.04285714285714286,0.7272727272727273,0.7272727272727273,0.2802368554566383,0.0,11587.0615
product:RAXE500,baseline-generic-hybrid,Hybrid baseline,40,22,24.681818181818183,1.5454545454545454,0.038636363636363635,0.7272727272727273,0.7272727272727273,0.2842183102636968,0.0,11587.0615
product:RAXE500,baseline-generic-hybrid,Hybrid baseline,45,22,24.681818181818183,1.5454545454545454,0.03434343434343434,0.7272727272727273,0.7272727272727273,0.2842183102636968,0.0,11587.0615
product:RAXE500,baseline-generic-hybrid,Hybrid baseline,50,22,24.681818181818183,1.5454545454545454,0.03090909090909091,0.7272727272727273,0.7272727272727273,0.2842183102636968,0.0,11587.0615
product:RAXE500,baseline-generic-hybrid,Hybrid baseline,55,22,24.681818181818183,1.5454545454545454,0.028099173553719006,0.7272727272727273,0.7272727272727273,0.2842183102636968,0.0,11587.0615
product:RAXE500,baseline-generic-hybrid,Hybrid baseline,60,22,24.681818181818183,1.5454545454545454,0.025757575757575757,0.7272727272727273,0.7272727272727273,0.2842183102636968,0.0,11587.0615
